Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Price,PER,EPS,MarketCap,EPS_Growth,PEG,Error,Links
048550,SM C&C,59.525,50.0,47.8,65.3,75.0,1263.0,,-190.0,1222.0,-127.16049382716051,,,"<a href=""https://m.stock.naver.com/domestic/stock/048550/total"" target=""_blank"">Naver Mobile</a>"
307750,국전약품,59.52499999999999,50.0,42.6,75.3,70.2,3060.0,,-73.0,1535.0,-154.54545454545453,,,"<a href=""https://m.stock.naver.com/domestic/stock/307750/total"" target=""_blank"">Naver Mobile</a>"
347850,디앤디파마텍,59.5,,42.5,73.8,62.2,83500.0,,-813.0,36352.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/347850/total"" target=""_blank"">Naver Mobile</a>"
014100,메디앙스,59.47500000000001,66.7,48.1,66.8,56.3,1699.0,,-1073.0,200.0,-260.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/014100/total"" target=""_blank"">Naver Mobile</a>"
042040,케이피엠테크,59.474999999999994,66.7,54.3,55.6,61.3,194.0,,-217.0,379.0,-304.9019607843137,,,"<a href=""https://m.stock.naver.com/domestic/stock/042040/total"" target=""_blank"">Naver Mobile</a>"
477380,미래에셋비전스팩4호,59.45,,46.4,72.5,,2120.0,53.0,40.0,172.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/477380/total"" target=""_blank"">Naver Mobile</a>"
044340,위닉스,59.449999999999996,55.0,42.5,69.2,71.1,5340.0,,-1435.0,954.0,-1017.8571428571429,,,"<a href=""https://m.stock.naver.com/domestic/stock/044340/total"" target=""_blank"">Naver Mobile</a>"
241520,DSC인베스트먼트,59.425,50.0,75.8,52.7,59.2,12150.0,39.71,306.0,3280.0,-40.28776978417266,,,"<a href=""https://m.stock.naver.com/domestic/stock/241520/total"" target=""_blank"">Naver Mobile</a>"
335870,윙스풋,59.349999999999994,50.0,40.8,72.3,74.3,2250.0,,-65.0,377.0,-139.28571428571428,,,"<a href=""https://m.stock.naver.com/domestic/stock/335870/total"" target=""_blank"">Naver Mobile</a>"
250060,모비스,59.300000000000004,66.7,42.5,68.1,59.9,5660.0,,-88.0,1821.0,-121.21212121212122,,,"<a href=""https://m.stock.naver.com/domestic/stock/250060/total"" target=""_blank"">Naver Mobile</a>"
050120,ES큐브,59.25,66.7,66.1,61.2,43.0,2745.0,7.07,388.0,372.0,153.46534653465346,0.04606903225806452,,"<a href=""https://m.stock.naver.com/domestic/stock/050120/total"" target=""_blank"">Naver Mobile</a>"
216080,제테마,59.25,63.9,54.5,61.8,56.8,9810.0,,-122.0,3532.0,-121.35922330097087,,,"<a href=""https://m.stock.naver.com/domestic/stock/216080/total"" target=""_blank"">Naver Mobile</a>"
024740,한일단조,59.225,60.3,53.3,76.4,46.9,2295.0,18.81,122.0,755.0,8.108108108108109,2.3198999999999996,,"<a href=""https://m.stock.naver.com/domestic/stock/024740/total"" target=""_blank"">Naver Mobile</a>"
034810,해성산업,59.224999999999994,50.0,43.5,74.7,68.7,8420.0,,-82.0,2741.0,-119.14893617021276,,,"<a href=""https://m.stock.naver.com/domestic/stock/034810/total"" target=""_blank"">Naver Mobile</a>"
171010,램테크놀러지,59.199999999999996,66.7,42.5,70.5,57.1,3710.0,,-136.0,530.0,-26.666666666666668,,,"<a href=""https://m.stock.naver.com/domestic/stock/171010/total"" target=""_blank"">Naver Mobile</a>"
148250,알엔투테크놀로지,59.175,66.0,42.5,77.7,50.5,3040.0,,-347.0,287.0,-27.27272727272727,,,"<a href=""https://m.stock.naver.com/domestic/stock/148250/total"" target=""_blank"">Naver Mobile</a>"
328130,루닛,59.175,66.7,42.5,62.2,65.3,41000.0,,-3037.0,12007.0,-303.65296803652967,,,"<a href=""https://m.stock.naver.com/domestic/stock/328130/total"" target=""_blank"">Naver Mobile</a>"
244460,올리패스,59.175,66.7,80.0,27.5,62.5,1651.0,,-2007.0,134.0,-8.737864077669903,,,"<a href=""https://m.stock.naver.com/domestic/stock/244460/total"" target=""_blank"">Naver Mobile</a>"
376270,에이치이엠파마,59.125,66.7,42.5,48.0,79.3,82000.0,,-1639.0,5889.0,-40.50632911392405,,,"<a href=""https://m.stock.naver.com/domestic/stock/376270/total"" target=""_blank"">Naver Mobile</a>"
146320,비씨엔씨,59.125,78.7,43.3,66.6,47.9,15350.0,,-132.0,1964.0,-221.42857142857144,,,"<a href=""https://m.stock.naver.com/domestic/stock/146320/total"" target=""_blank"">Naver Mobile</a>"
040160,누리플렉스,59.12499999999999,83.3,42.5,66.6,44.1,6660.0,,-591.0,803.0,48.55072463768116,,,"<a href=""https://m.stock.naver.com/domestic/stock/040160/total"" target=""_blank"">Naver Mobile</a>"
475250,하나33호스팩,59.1,,45.7,72.5,,2120.0,55.79,38.0,78.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/475250/total"" target=""_blank"">Naver Mobile</a>"
278650,HLB바이오스텝,59.075,66.7,42.5,68.1,59.0,1263.0,,-89.0,1099.0,-57.14285714285714,,,"<a href=""https://m.stock.naver.com/domestic/stock/278650/total"" target=""_blank"">Naver Mobile</a>"
080720,한국유니온제약,59.075,50.0,57.9,51.2,77.2,2725.0,,-3844.0,216.0,-49.01960784313725,,,"<a href=""https://m.stock.naver.com/domestic/stock/080720/total"" target=""_blank"">Naver Mobile</a>"
299030,하나기술,59.075,91.0,40.0,52.6,52.7,30100.0,,-1354.0,2406.0,34.54545454545455,,,"<a href=""https://m.stock.naver.com/domestic/stock/299030/total"" target=""_blank"">Naver Mobile</a>"
019660,글로본,59.025000000000006,66.7,40.0,79.4,50.0,2425.0,,-68.0,338.0,50.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/019660/total"" target=""_blank"">Naver Mobile</a>"
061970,LB세미콘,59.025000000000006,50.7,42.5,69.7,73.2,4500.0,,-538.0,2614.0,-129.6,,,"<a href=""https://m.stock.naver.com/domestic/stock/061970/total"" target=""_blank"">Naver Mobile</a>"
245620,EDGC,59.0,69.4,55.0,27.5,84.1,415.0,,-182.0,575.0,3.4615384615384617,,,"<a href=""https://m.stock.naver.com/domestic/stock/245620/total"" target=""_blank"">Naver Mobile</a>"
127710,아시아경제,58.95,66.7,55.0,36.8,77.3,1046.0,,-1386.0,365.0,-48.15950920245399,,,"<a href=""https://m.stock.naver.com/domestic/stock/127710/total"" target=""_blank"">Naver Mobile</a>"
289930,웨이비스,58.93333333333334,,42.5,72.7,61.6,17970.0,,-495.0,2250.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/289930/total"" target=""_blank"">Naver Mobile</a>"
466100,클로봇,58.93333333333334,,42.5,61.2,73.1,66500.0,,-313.0,16620.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/466100/total"" target=""_blank"">Naver Mobile</a>"
432470,케이엔에스,58.875,50.0,53.5,82.9,49.1,16410.0,57.58,285.0,1439.0,-47.91666666666667,,,"<a href=""https://m.stock.naver.com/domestic/stock/432470/total"" target=""_blank"">Naver Mobile</a>"
109740,디에스케이,58.875,66.7,42.5,60.1,66.2,6980.0,,-482.0,1795.0,-161.70212765957444,,,"<a href=""https://m.stock.naver.com/domestic/stock/109740/total"" target=""_blank"">Naver Mobile</a>"
308430,셀비온,58.866666666666674,,42.5,61.2,72.9,33150.0,,-593.0,4254.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/308430/total"" target=""_blank"">Naver Mobile</a>"
025870,신라에스지,58.825,50.0,40.0,64.1,81.2,5130.0,,-332.0,205.0,-160.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/025870/total"" target=""_blank"">Naver Mobile</a>"
144510,지씨셀,58.775000000000006,50.0,42.5,71.3,71.3,24450.0,,-6215.0,3863.0,-2872.7272727272725,,,"<a href=""https://m.stock.naver.com/domestic/stock/144510/total"" target=""_blank"">Naver Mobile</a>"
033340,좋은사람들,58.75,50.0,42.5,86.2,56.3,2105.0,,-75.0,2041.0,-1012.5,,,"<a href=""https://m.stock.naver.com/domestic/stock/033340/total"" target=""_blank"">Naver Mobile</a>"
475830,오름테라퓨틱,58.73333333333333,,40.0,61.2,75.0,115500.0,,-1833.0,24523.0,,,,"<a href=""https://m.stock.naver.com/domestic/stock/475830/total"" target=""_blank"">Naver Mobile</a>"
069540,빛과전자,58.724999999999994,75.0,40.0,81.1,38.8,1068.0,,-340.0,651.0,-5.806451612903226,,,"<a href=""https://m.stock.naver.com/domestic/stock/069540/total"" target=""_blank"">Naver Mobile</a>"
206400,베노티앤알,58.724999999999994,50.0,42.5,61.2,81.2,1486.0,,-553.0,557.0,-26.543209876543212,,,"<a href=""https://m.stock.naver.com/domestic/stock/206400/total"" target=""_blank"">Naver Mobile</a>"
025950,동신건설,58.7,50.0,40.0,76.1,68.7,18600.0,,-258.0,1562.0,-132.8358208955224,,,"<a href=""https://m.stock.naver.com/domestic/stock/025950/total"" target=""_blank"">Naver Mobile</a>"
061040,알에프텍,58.699999999999996,50.0,42.6,71.3,70.9,1779.0,,-1216.0,571.0,-1318.75,,,"<a href=""https://m.stock.naver.com/domestic/stock/061040/total"" target=""_blank"">Naver Mobile</a>"
071670,에이테크솔루션,58.675000000000004,50.0,45.4,61.9,77.4,10370.0,134.68,77.0,1037.0,-27.27272727272727,,,"<a href=""https://m.stock.naver.com/domestic/stock/071670/total"" target=""_blank"">Naver Mobile</a>"
027040,서울전자통신,58.675,68.4,42.5,52.5,71.3,204.0,,-107.0,142.0,1.3333333333333335,,,"<a href=""https://m.stock.naver.com/domestic/stock/027040/total"" target=""_blank"">Naver Mobile</a>"
065770,CS,58.65,50.0,42.5,77.1,65.0,795.0,,-68.0,154.0,-172.22222222222223,,,"<a href=""https://m.stock.naver.com/domestic/stock/065770/total"" target=""_blank"">Naver Mobile</a>"
024850,HLB이노베이션,58.625,66.6,42.5,64.6,60.8,3110.0,,-210.0,4587.0,-850.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/024850/total"" target=""_blank"">Naver Mobile</a>"
418620,E8,58.6,82.4,42.5,59.5,50.0,1385.0,,-662.0,275.0,42.331288343558285,,,"<a href=""https://m.stock.naver.com/domestic/stock/418620/total"" target=""_blank"">Naver Mobile</a>"
335810,프리시젼바이오,58.6,75.7,42.5,66.2,50.0,2645.0,,-678.0,475.0,3.7037037037037033,,,"<a href=""https://m.stock.naver.com/domestic/stock/335810/total"" target=""_blank"">Naver Mobile</a>"
054780,키이스트,58.575,50.0,42.5,66.4,75.4,2865.0,,-611.0,563.0,-60.810810810810814,,,"<a href=""https://m.stock.naver.com/domestic/stock/054780/total"" target=""_blank"">Naver Mobile</a>"
446150,유안타제12호스팩,58.575,50.0,61.8,72.5,50.0,,,,,-100.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/446150/total"" target=""_blank"">Naver Mobile</a>"
302430,이노메트리,58.525000000000006,50.0,49.2,61.2,73.7,7570.0,,-769.0,744.0,-216.9230769230769,,,"<a href=""https://m.stock.naver.com/domestic/stock/302430/total"" target=""_blank"">Naver Mobile</a>"
104480,티케이케미칼,58.525,54.5,40.0,77.6,62.0,1824.0,,-1115.0,1658.0,-170.49408489909536,,,"<a href=""https://m.stock.naver.com/domestic/stock/104480/total"" target=""_blank"">Naver Mobile</a>"
299660,셀리드,58.5,50.0,42.5,61.2,80.3,3220.0,,-477.0,950.0,-10.891089108910892,,,"<a href=""https://m.stock.naver.com/domestic/stock/299660/total"" target=""_blank"">Naver Mobile</a>"
032800,판타지오,58.475,50.0,40.0,63.8,80.1,397.0,,-191.0,182.0,-210.25641025641028,,,"<a href=""https://m.stock.naver.com/domestic/stock/032800/total"" target=""_blank"">Naver Mobile</a>"
033170,시그네틱스,58.449999999999996,50.0,40.0,56.7,87.1,796.0,,-587.0,682.0,-122.56637168141593,,,"<a href=""https://m.stock.naver.com/domestic/stock/033170/total"" target=""_blank"">Naver Mobile</a>"
362990,드림인사이트,58.425,50.0,48.2,85.5,50.0,1652.0,32.39,51.0,278.0,-75.0,,,"<a href=""https://m.stock.naver.com/domestic/stock/362990/total"" target=""_blank"">Naver Mobile</a>"
222040,코스맥스엔비티,58.425,55.7,45.3,52.5,80.2,3455.0,,-477.0,713.0,5.769230769230769,,,"<a href=""https://m.stock.naver.com/domestic/stock/222040/total"" target=""_blank"">Naver Mobile</a>"
