Symbol,Name,corp_code,year_requested,reprt_requested,year_fetched,reprt_fetched,ok,final_fs,status,rows,message,used_source,file_cfs,file_ofs,exists_cfs,exists_ofs,http_status,attempt_log
011150,CJ씨푸드,00129013,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\011150\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\011150\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
011150,CJ씨푸드,00129013,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\011150\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\011150\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
011150,CJ씨푸드,00129013,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\011150\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\011150\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
011150,CJ씨푸드,00129013,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\011150\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\011150\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
097950,CJ제일제당,00635134,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\097950\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\097950\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
097950,CJ제일제당,00635134,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\097950\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\097950\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
097950,CJ제일제당,00635134,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\097950\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\097950\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
097950,CJ제일제당,00635134,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\097950\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\097950\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
000480,시알홀딩스,00148984,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\000480\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\000480\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
000480,시알홀딩스,00148984,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\000480\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\000480\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
000480,시알홀딩스,00148984,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\000480\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\000480\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
000480,시알홀딩스,00148984,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\000480\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\000480\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
000590,CS홀딩스,00149026,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\000590\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\000590\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
000590,CS홀딩스,00149026,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\000590\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\000590\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
000590,CS홀딩스,00149026,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\000590\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\000590\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
000590,CS홀딩스,00149026,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\000590\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\000590\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
012030,DB,00163345,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\012030\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\012030\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
012030,DB,00163345,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\012030\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\012030\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
012030,DB,00163345,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\012030\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\012030\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
012030,DB,00163345,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\012030\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\012030\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
005830,DB손해보험,00159102,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\005830\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\005830\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
005830,DB손해보험,00159102,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\005830\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\005830\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
005830,DB손해보험,00159102,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\005830\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\005830\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
005830,DB손해보험,00159102,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\005830\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\005830\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
016610,DB증권,00115694,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\016610\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\016610\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
016610,DB증권,00115694,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\016610\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\016610\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
016610,DB증권,00115694,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\016610\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\016610\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
016610,DB증권,00115694,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\016610\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\016610\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
000990,DB하이텍,00160843,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\000990\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\000990\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
000990,DB하이텍,00160843,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\000990\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\000990\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
000990,DB하이텍,00160843,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\000990\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\000990\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
000990,DB하이텍,00160843,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\000990\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\000990\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
000300,DH오토넥스,00126089,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\000300\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\000300\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
000300,DH오토넥스,00126089,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\000300\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\000300\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
000300,DH오토넥스,00126089,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\000300\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\000300\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
000300,DH오토넥스,00126089,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\000300\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\000300\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
001530,디아이동일,00118345,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\001530\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\001530\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
001530,디아이동일,00118345,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\001530\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\001530\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
001530,디아이동일,00118345,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\001530\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\001530\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
001530,디아이동일,00118345,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\001530\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\001530\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
015590,DKME,00108746,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\015590\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\015590\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
015590,DKME,00108746,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\015590\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\015590\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
015590,DKME,00108746,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\015590\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\015590\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
015590,DKME,00108746,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\015590\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\015590\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
000210,DL,00109693,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\000210\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\000210\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
000210,DL,00109693,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\000210\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\000210\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
000210,DL,00109693,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\000210\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\000210\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
000210,DL,00109693,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\000210\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\000210\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
375500,DL이앤씨,01524093,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\375500\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\375500\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
375500,DL이앤씨,01524093,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\375500\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\375500\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
375500,DL이앤씨,01524093,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\375500\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\375500\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
375500,DL이앤씨,01524093,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\375500\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\375500\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
007340,DN오토모티브,00116949,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\007340\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\007340\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
007340,DN오토모티브,00116949,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\007340\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\007340\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
007340,DN오토모티브,00116949,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\007340\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\007340\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
007340,DN오토모티브,00116949,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\007340\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\007340\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
004840,DRB동일,00118266,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\004840\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\004840\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
004840,DRB동일,00118266,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\004840\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\004840\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
004840,DRB동일,00118266,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\004840\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\004840\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
004840,DRB동일,00118266,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\004840\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\004840\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
155660,DSR,00110608,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\155660\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\155660\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
155660,DSR,00110608,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\155660\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\155660\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
155660,DSR,00110608,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\155660\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\155660\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
155660,DSR,00110608,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\155660\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\155660\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
069730,DSR제강,00151298,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\069730\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\069730\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
069730,DSR제강,00151298,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\069730\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\069730\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
069730,DSR제강,00151298,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\069730\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\069730\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
069730,DSR제강,00151298,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\069730\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\069730\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
017860,DS단석,00108612,2025,11013,2025.0,11013,True,CFS,,0,,cached,Dart_Report\017860\raw_FS_2025Q1_11013_CFS.csv,Dart_Report\017860\raw_FS_2025Q1_11013_OFS.csv,True,False,,fiscal_month=12
017860,DS단석,00108612,2025,11012,2025.0,11012,True,CFS,,0,,cached,Dart_Report\017860\raw_FS_2025Q2_11012_CFS.csv,Dart_Report\017860\raw_FS_2025Q2_11012_OFS.csv,True,False,,fiscal_month=12
017860,DS단석,00108612,2025,11014,2025.0,11014,True,CFS,,0,,cached,Dart_Report\017860\raw_FS_2025Q3_11014_CFS.csv,Dart_Report\017860\raw_FS_2025Q3_11014_OFS.csv,True,False,,fiscal_month=12
017860,DS단석,00108612,2025,11011,2025.0,11011,True,CFS,,0,,cached,Dart_Report\017860\raw_FS_2025Q4_11011_CFS.csv,Dart_Report\017860\raw_FS_2025Q4_11011_OFS.csv,True,False,,fiscal_month=12
