Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
166090,하나머티리얼즈,,63.425,50.0,65.8,87.2,50.7,"<a href=""https://m.stock.naver.com/domestic/stock/166090/total"" target=""_blank"">Naver Mobile</a>"
101730,위메이드맥스,,63.4,50.0,56.0,76.5,71.1,"<a href=""https://m.stock.naver.com/domestic/stock/101730/total"" target=""_blank"">Naver Mobile</a>"
219420,링크제니시스,,63.375,50.0,67.4,86.1,50.0,"<a href=""https://m.stock.naver.com/domestic/stock/219420/total"" target=""_blank"">Naver Mobile</a>"
003200,일신방직,,63.375,66.7,44.7,85.9,56.2,"<a href=""https://m.stock.naver.com/domestic/stock/003200/total"" target=""_blank"">Naver Mobile</a>"
091440,한울소재과학,,63.375,91.8,40.0,55.0,66.7,"<a href=""https://m.stock.naver.com/domestic/stock/091440/total"" target=""_blank"">Naver Mobile</a>"
004590,한국가구,,63.35,54.7,52.0,98.2,48.5,"<a href=""https://m.stock.naver.com/domestic/stock/004590/total"" target=""_blank"">Naver Mobile</a>"
036800,나이스정보통신,,63.35,58.5,58.4,78.6,57.9,"<a href=""https://m.stock.naver.com/domestic/stock/036800/total"" target=""_blank"">Naver Mobile</a>"
161000,애경케미칼,,63.3,50.0,46.5,76.2,80.5,"<a href=""https://m.stock.naver.com/domestic/stock/161000/total"" target=""_blank"">Naver Mobile</a>"
334970,프레스티지바이오로직스,,63.3,100.0,63.0,40.2,50.0,"<a href=""https://m.stock.naver.com/domestic/stock/334970/total"" target=""_blank"">Naver Mobile</a>"
054210,이랜텍,,63.275000000000006,50.0,45.3,72.0,85.8,"<a href=""https://m.stock.naver.com/domestic/stock/054210/total"" target=""_blank"">Naver Mobile</a>"
144960,뉴파워프라즈마,,63.275000000000006,77.5,54.5,66.4,54.7,"<a href=""https://m.stock.naver.com/domestic/stock/144960/total"" target=""_blank"">Naver Mobile</a>"
090850,현대이지웰,,63.25,50.9,51.7,83.1,67.3,"<a href=""https://m.stock.naver.com/domestic/stock/090850/total"" target=""_blank"">Naver Mobile</a>"
102710,이엔에프테크놀로지,,63.225,50.0,46.0,74.0,82.9,"<a href=""https://m.stock.naver.com/domestic/stock/102710/total"" target=""_blank"">Naver Mobile</a>"
091590,남화토건,,63.2,50.0,40.0,87.8,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/091590/total"" target=""_blank"">Naver Mobile</a>"
050760,에스폴리텍,,63.2,66.7,42.5,75.9,67.7,"<a href=""https://m.stock.naver.com/domestic/stock/050760/total"" target=""_blank"">Naver Mobile</a>"
306040,에스제이그룹,,63.175,50.0,55.8,90.6,56.3,"<a href=""https://m.stock.naver.com/domestic/stock/306040/total"" target=""_blank"">Naver Mobile</a>"
222110,팬젠,,63.175,100.0,42.5,65.1,45.1,"<a href=""https://m.stock.naver.com/domestic/stock/222110/total"" target=""_blank"">Naver Mobile</a>"
037560,LG헬로비전,,63.150000000000006,51.5,45.5,75.8,79.8,"<a href=""https://m.stock.naver.com/domestic/stock/037560/total"" target=""_blank"">Naver Mobile</a>"
