Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Momentum,Price,MarketCap,EPS,PreviousEPS,LatestQuarterEPS,PreviousQuarterEPS,SameQuarterLastYearEPS,EPS_Growth,PreviousQuarterEPSGrowth,SameQuarterLastYearEPSGrowth,LatestBPS,PER,PBR,ROE,PEG,Raw_Adjusted_Growth,Adjusted_EPS_Growth,Raw_PEG,Adjusted_PEG,EPS_Base_Flag,Links
082740,한화엔진,,63.05416666666667,76.98333333333333,57.416666666666664,54.90833333333333,62.90833333333333,71600.0,59748.0,2482.0,1003.0,633.0,1228.0,233.0,147.45762711864407,-48.45276872964169,171.6738197424893,7310.0,28.847703464947624,9.794801641586867,33.95348837209302,0.19563385108412756,147.45762711864407,147.45762711864407,0.19563385108412756,0.19563385108412756,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/082740/total"" target=""_blank"">Naver Mobile</a>"
073240,금호타이어,,63.02708333333333,62.666666666666664,62.48333333333333,66.425,60.53333333333333,5060.0,14535.0,1205.0,1163.0,331.0,589.0,336.0,3.611349957007739,-43.803056027164686,-1.488095238095238,8599.0,4.199170124481328,0.5884405163391092,14.013257355506454,1.1627702035170915,3.611349957007739,3.611349957007739,1.1627702035170915,1.1627702035170915,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/073240/total"" target=""_blank"">Naver Mobile</a>"
025000,KPX케미칼,,63.014583333333334,43.050000000000004,53.708333333333336,84.36666666666666,70.93333333333334,51900.0,2273.0,13168.0,11433.0,2385.0,2175.0,782.0,15.175369544301583,9.655172413793103,204.98721227621482,152922.0,3.9413730255164032,0.3393887079687684,8.610925831469638,0.2597217164307149,15.175369544301583,15.175369544301583,0.2597217164307149,0.2597217164307149,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/025000/total"" target=""_blank"">Naver Mobile</a>"
001440,대한전선,,62.985416666666666,59.48333333333333,41.074999999999996,75.01666666666667,76.36666666666666,60000.0,111868.0,261.0,418.0,-40.0,219.0,150.0,-37.55980861244019,-118.2648401826484,-126.66666666666666,8663.0,229.88505747126436,6.926007156874062,3.012813113240217,,-37.55980861244019,-37.55980861244019,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/001440/total"" target=""_blank"">Naver Mobile</a>"
000320,노루홀딩스,,62.979166666666664,54.31666666666666,48.85833333333333,82.18333333333334,66.55833333333334,19880.0,2642.0,2490.0,3792.0,520.0,578.0,468.0,-34.335443037974684,-10.034602076124568,11.11111111111111,61387.0,7.983935742971887,0.32384706859758583,4.056233404466743,,-34.335443037974684,-34.335443037974684,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/000320/total"" target=""_blank"">Naver Mobile</a>"
007210,벽산,,62.97916666666666,51.525,48.98333333333333,73.95,77.45833333333333,1850.0,1209.0,394.0,193.0,17.0,29.0,-28.0,104.14507772020724,-41.37931034482759,160.71428571428572,5722.0,4.695431472081219,0.32331352673890246,6.885704299196085,0.0450854862742127,104.14507772020724,104.14507772020724,0.0450854862742127,0.0450854862742127,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/007210/total"" target=""_blank"">Naver Mobile</a>"
298040,효성중공업,,62.95833333333334,71.26666666666667,59.71666666666667,54.64166666666667,66.20833333333333,3745000.0,349204.0,54158.0,32510.0,9358.0,18769.0,10956.0,66.58874192556137,-50.14119026053599,-14.585615188024825,272223.0,69.14952546253555,13.757103551132712,19.894718668150745,1.0384567039851398,66.58874192556137,66.58874192556137,1.0384567039851398,1.0384567039851398,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/298040/total"" target=""_blank"">Naver Mobile</a>"
286940,롯데이노베이트,,62.912499999999994,44.44166666666666,44.60833333333333,76.03333333333333,86.56666666666666,22200.0,3359.0,753.0,720.0,395.0,-208.0,300.0,4.583333333333333,289.9038461538462,31.666666666666664,29600.0,29.48207171314741,0.75,2.543918918918919,6.432452010141254,4.583333333333333,4.583333333333333,6.432452010141254,6.432452010141254,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/286940/total"" target=""_blank"">Naver Mobile</a>"
000970,한국주철관,,62.86875,41.925000000000004,47.5,92.325,69.725,7000.0,1596.0,688.0,637.0,115.0,194.0,170.0,8.006279434850864,-40.72164948453608,-32.35294117647059,15764.0,10.174418604651162,0.44404973357015987,4.364374524232428,1.2708048335613313,8.006279434850864,8.006279434850864,1.2708048335613313,1.2708048335613313,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/000970/total"" target=""_blank"">Naver Mobile</a>"
090430,아모레퍼시픽,,62.85416666666667,52.90833333333333,54.6,86.90833333333335,57.0,122000.0,71361.0,3991.0,10691.0,1856.0,395.0,1894.0,-62.66953512300065,369.873417721519,-2.0063357972544877,94462.0,30.568779754447508,1.2915246342444582,4.224979356778387,,-62.66953512300065,-62.66953512300065,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/090430/total"" target=""_blank"">Naver Mobile</a>"
067830,세이브존I&C,,62.84375,39.016666666666666,54.15833333333333,83.95833333333333,74.24166666666666,2920.0,1198.0,196.0,281.0,66.0,22.0,59.0,-30.2491103202847,200.0,11.864406779661017,12028.0,14.89795918367347,0.2427668772863319,1.6295310941137346,,-30.2491103202847,-30.2491103202847,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/067830/total"" target=""_blank"">Naver Mobile</a>"
003090,대웅,,62.83125,48.48333333333333,54.708333333333336,78.13333333333334,70.0,21100.0,12268.0,3167.0,1083.0,606.0,1202.0,450.0,192.42843951985228,-49.58402662229617,34.66666666666667,31871.0,6.662456583517525,0.6620438643280725,9.936933262213298,0.03462303493257907,192.42843951985228,192.42843951985228,0.03462303493257907,0.03462303493257907,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/003090/total"" target=""_blank"">Naver Mobile</a>"
001130,대한제분,,62.806250000000006,47.375,49.89166666666667,81.81666666666666,72.14166666666667,156500.0,2645.0,-17310.0,26881.0,4324.0,-48980.0,6686.0,-164.394925784011,108.82809309922416,-35.32755010469638,599089.0,,0.26122996750065514,-2.8893870526749783,,-164.394925784011,-164.394925784011,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/001130/total"" target=""_blank"">Naver Mobile</a>"
016800,퍼시스,,62.675,39.541666666666664,54.699999999999996,84.79166666666667,71.66666666666667,30250.0,3479.0,3268.0,2878.0,578.0,721.0,404.0,13.551077136900624,-19.83356449375867,43.06930693069307,52026.0,9.256425948592412,0.5814400492061661,6.281474647291739,0.6830767661551017,13.551077136900624,13.551077136900624,0.6830767661551017,0.6830767661551017,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/016800/total"" target=""_blank"">Naver Mobile</a>"
207940,삼성바이오로직스,,62.65,62.21666666666667,80.0,78.91666666666667,29.46666666666667,1419000.0,656869.0,40571.0,27640.0,10137.0,11016.0,8113.0,46.78364688856729,-7.979302832244009,24.947614938986813,171153.0,34.975721574523675,8.290827505214633,23.704521685275747,0.7476057105559001,46.78364688856729,46.78364688856729,0.7476057105559001,0.7476057105559001,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/207940/total"" target=""_blank"">Naver Mobile</a>"
007310,오뚜기,,62.64791666666666,42.03333333333333,50.475,81.58333333333333,76.5,360000.0,14428.0,17919.0,30537.0,9006.0,-6741.0,8358.0,-41.32036545829649,233.6003560302626,7.753050969131372,554850.0,20.090406830738324,0.64882400648824,3.229521492295215,,-41.32036545829649,-41.32036545829649,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/007310/total"" target=""_blank"">Naver Mobile</a>"
178920,PI첨단소재,,62.62499999999999,49.449999999999996,61.583333333333336,80.05,59.416666666666664,27900.0,8193.0,1189.0,952.0,360.0,150.0,206.0,24.89495798319328,140.0,74.75728155339806,12102.0,23.465096719932717,2.3054040654437284,9.824822343414311,0.9425642226740905,24.89495798319328,24.89495798319328,0.9425642226740905,0.9425642226740905,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/178920/total"" target=""_blank"">Naver Mobile</a>"
100090,SK오션플랜트,,62.577083333333334,52.708333333333336,44.81666666666666,68.35833333333333,84.425,19310.0,12065.0,693.0,267.0,158.0,219.0,70.0,159.5505617977528,-27.85388127853881,125.71428571428571,13195.0,27.864357864357864,1.4634331186055325,5.251989389920424,0.17464280633294718,159.5505617977528,159.5505617977528,0.17464280633294718,0.17464280633294718,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/100090/total"" target=""_blank"">Naver Mobile</a>"
011070,LG이노텍,,62.56666666666667,43.125,47.175000000000004,74.71666666666667,85.25,732000.0,173243.0,20484.0,16749.0,9682.0,5744.0,3617.0,22.29983879634605,68.55849582172702,167.68039811998895,256934.0,35.73520796719391,2.848980672079211,7.972475421703629,1.6024872777577797,22.29983879634605,22.29983879634605,1.6024872777577797,1.6024872777577797,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/011070/total"" target=""_blank"">Naver Mobile</a>"
